DATE,low,high
5/1/2019,8495555.281,21930803.04
6/1/2019,6004625.849,23493772.52
7/1/2019,4605473.167,24689683.2
8/1/2019,3586312.437,25633287.45
9/1/2019,2358330.166,26035063.17
10/1/2019,1510559.29,26619877
11/1/2019,-232341.1216,26181747.88
12/1/2019,-59095.71886,27570261.12
1/1/2020,-755543.09,28022091.45
2/1/2020,-3187356.901,26685553.7
3/1/2020,-2332609.474,28591749
4/1/2020,-5467042.719,26471278.81
5/1/2020,-7684459.687,26758429.45
6/1/2020,-10598008.63,25898764.63
7/1/2020,-11284957.72,27006210.31
8/1/2020,-11888298.99,28034641.25
9/1/2020,-12247799.39,29196923.83
10/1/2020,-12774734.34,30111971.65
11/1/2020,-13450530.69,30816529.51
12/1/2020,-14171964.48,31425298.12
1/1/2021,-14038185.27,32846750.85
2/1/2021,-17026696.3,31108719.25
3/1/2021,-15449546.22,33903086.25
4/1/2021,-17001937.34,33537688.92
5/1/2021,-17147201.93,35805693.3
6/1/2021,-19115263.17,35916502.5
7/1/2021,-18106864.11,38802626.03
8/1/2021,-18710269.26,39946913.78
9/1/2021,-19648215.61,40666480.07
10/1/2021,-19886263.16,42019027.78
11/1/2021,-20993452.93,42449641.89
12/1/2021,-21401990,43535067.35
1/1/2022,-21589274.78,44803850.71
2/1/2022,-24432111.85,43383350.17
3/1/2022,-23521199.77,45685941.53
4/1/2022,-24535419.67,46035132.83
