DATE,N_WELLS,MONTHLY_GAS_PROD
1980-01-01,9790,83334246.99999997
1980-02-01,9210,73242454.99999997
1980-03-01,9727,70940950.99999997
1980-04-01,9508,59003694.000000015
1980-05-01,9232,47541659.000000015
1980-06-01,8947,46002947.000000015
1980-07-01,9512,55474843.000000015
1980-08-01,9467,53169608.000000015
1980-09-01,9253,43537503.000000015
1980-10-01,9257,45609048.000000015
1980-11-01,9559,54235513.000000015
1980-12-01,9609,61049181.000000015
1981-01-01,9482,71578099.83333334
1981-02-01,9948,63000658.83333333
1981-03-01,9660,56695114.83333333
1981-04-01,9530,48289276.83333333
1981-05-01,9600,49800741.83333333
1981-06-01,9554,49200871.83333333
1981-07-01,9839,52511102.83333333
1981-08-01,9693,48813620.83333333
1981-09-01,9769,41152572.83333333
1981-10-01,9524,42981926.83333333
1981-11-01,8954,39068896.83333333
1981-12-01,10124,53730305.83333333
1982-01-01,10505,69959861.41666667
1982-02-01,10464,56954193.416666664
1982-03-01,10079,39254055.416666664
1982-04-01,10002,36943983.416666664
1982-05-01,9664,29589733.416666668
1982-06-01,9722,27539235.416666668
1982-07-01,9500,29128597.416666668
1982-08-01,9622,31630238.416666668
1982-09-01,8996,23946808.416666668
1982-10-01,9521,23834740.416666668
1982-11-01,10190,31424471.416666668
1982-12-01,9982,35771021.416666664
1983-01-01,10208,36739325.25000001
1983-02-01,9737,29737691.249999996
1983-03-01,9828,27933534.249999996
1983-04-01,9931,30396051.249999996
1983-05-01,9940,32335303.249999996
1983-06-01,9472,26286891.249999996
1983-07-01,10037,31168187.249999996
1983-08-01,10064,39957284.25000001
1983-09-01,9808,36538516.25000001
1983-10-01,9698,35320484.25000001
1983-11-01,9904,48037755.25000001
1983-12-01,10460,63944234.25000001
1984-01-01,10636,66045432.16666666
1984-02-01,10393,45008180.16666666
1984-03-01,10017,40107612.16666666
1984-04-01,8949,33029368.16666667
1984-05-01,9595,32720093.16666667
1984-06-01,9119,28074766.16666667
1984-07-01,9773,32367197.16666667
1984-08-01,9672,37214632.16666666
1984-09-01,9947,36655674.16666666
1984-10-01,10111,43355212.16666666
1984-11-01,10239,48324744.16666666
1984-12-01,10671,52783300.16666666
1985-01-01,10750,58715614.25
1985-02-01,10567,54223736.25
1985-03-01,10135,34374130.25
1985-04-01,9933,30907093.25
1985-05-01,10009,29331523.25
1985-06-01,9715,29934009.25
1985-07-01,10047,38458251.25
1985-08-01,9873,46113669.25
